* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, , L, volume: no control. Timing signal peak level -44.8 dBFS, measurement signal peak level -36.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 28, 2026 6:43:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; gauche :0.773 du mur gauche 0,539 mur arriere droite: 3.219 du mur gauche 0.515 mur arriere Delay -0.2758 ms (-95 mm, -3.72 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: L baseline Jul 28
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
154.301310 69.640 143.8622
155.419441 70.872 140.6960
156.545674 72.163 136.1940
157.680069 73.406 130.3849
158.822683 74.547 123.4744
159.973578 75.552 115.6819
161.132813 76.404 107.2192
162.300447 77.097 98.2994
163.476543 77.634 89.1234
164.661162 78.025 79.8583
165.854364 78.287 70.6307
167.056213 78.436 61.5254
168.266772 78.494 52.5741
169.486102 78.481 43.7471
170.714268 78.409 34.9675
171.951334 78.282 26.1530
173.197364 78.091 17.2467
174.452424 77.823 8.2225
175.716578 77.459 -0.9198
176.989893 76.974 -10.1442
178.272434 76.341 -19.3639
179.564270 75.540 -28.4535
180.865467 74.563 -37.2915
182.176092 73.419 -45.8246
183.496216 72.137 -54.1313
184.825905 70.776 -62.5236
186.165229 69.464 -71.8018
187.514259 68.431 -84.3500
188.873065 67.979 -112.9987
190.241717 68.264 147.2031
191.620287 69.119 109.0057
193.008847 70.219 93.0419
194.407468 71.316 80.5243
195.816225 72.274 68.8058
197.235190 73.032 57.2830
198.664438 73.568 45.8584
200.104042 73.882 34.6210
201.554078 73.992 23.7351
203.014622 73.928 13.4321
204.485750 73.721 4.1389
205.967538 73.417 -3.1991
207.460064 73.095 -6.6019
208.963405 72.870 -2.8806
210.477640 72.843 8.4900
212.002848 73.016 18.4454
213.539108 73.285 20.0621
215.086500 73.512 15.4164
216.645105 73.602 7.6860
218.215005 73.522 -1.2621
219.796281 73.287 -10.5104
221.389015 72.939 -19.6917
222.993292 72.524 -28.7657
224.609193 72.074 -37.8619
226.236804 71.589 -47.1316
227.876209 71.040 -56.6078
229.527494 70.386 -66.1038
231.190745 69.601 -75.1584
232.866048 68.705 -82.9072
234.553491 67.783 -87.6250
236.253163 66.988 -85.8125
237.965150 66.491 -73.6157
239.689544 66.364 -59.1627
241.426433 66.507 -56.1813
243.175909 66.739 -63.5505
244.938062 66.916 -76.9609
246.712984 66.980 -94.1133
248.500768 66.930 -113.8853
250.301507 66.800 -135.4502
252.115295 66.614 -157.7373
253.942226 66.375 -179.3306
255.782396 66.067 161.1536
257.635901 65.684 144.6926
259.502837 65.270 131.8169
261.383301 64.943 122.5947
263.277392 64.856 116.3411
265.185209 65.086 111.5098
267.106850 65.546 106.4741
269.042417 66.065 100.4866
270.992009 66.508 93.7185
272.955729 66.826 86.7083
274.933678 67.029 79.9114
276.925961 67.156 73.5205
278.932681 67.232 67.5044
280.953942 67.258 61.7764
282.989850 67.219 56.3589
285.040511 67.109 51.4355
287.106032 66.943 47.3218
289.186521 66.778 44.3616
291.282086 66.708 42.5952
293.392836 66.809 41.3394
295.518881 67.062 39.3889
297.660333 67.345 35.8970
299.817302 67.507 30.8960
301.989902 67.445 25.1492
304.178245 67.124 19.8555
306.382446 66.589 16.5298
308.602620 65.974 16.8699
310.838882 65.491 21.7998
313.091348 65.332 29.1887
315.360137 65.509 34.3308
317.645367 65.843 34.9309
319.947156 66.122 32.0315
322.265625 66.223 27.7224
324.600895 66.129 24.1716
326.953086 65.919 23.5181
329.322323 65.733 27.0093
331.708729 65.692 32.7246
334.112427 65.794 36.2112
336.533543 65.913 35.5066
338.972204 65.908 31.8015
341.428536 65.705 27.0229
343.902668 65.331 22.6631
346.394729 64.903 19.4402
348.904848 64.585 17.2490
351.433156 64.516 15.5820
353.979786 64.762 14.2783
356.544869 65.355 13.9048
359.128540 66.315 15.2026
361.730934 67.607 17.5283
364.352185 69.109 18.1360
366.992431 70.663 14.5361
369.651810 72.150 6.3796
372.330459 73.509 -5.4514
375.028519 74.724 -19.9509
377.746130 75.807 -36.3074
380.483434 76.783 -53.9084
383.240574 77.661 -72.3120
386.017693 78.425 -91.1956
388.814937 79.030 -110.2832
391.632450 79.411 -129.2561
394.470380 79.503 -147.6606
397.328875 79.269 -164.8821
400.208084 78.714 179.7334
403.108157 77.895 166.6282
406.029245 76.923 155.7971
408.971500 75.935 146.7441
411.935076 75.049 138.7815
414.920127 74.315 131.4424
417.926810 73.714 124.6145
420.955280 73.205 118.3967
424.005695 72.772 112.8931
427.078215 72.433 108.0591
430.173000 72.211 103.6426
433.290211 72.102 99.2595
436.430010 72.050 94.5662
439.592562 71.963 89.4321
442.778031 71.750 84.0464
445.986583 71.358 78.8572
449.218386 70.778 74.3948
452.473607 70.040 71.1375
455.752418 69.206 69.4436
459.054987 68.365 69.4341
462.381489 67.624 70.8206
465.732096 67.076 72.8804
469.106983 66.757 74.8018
472.506325 66.652 76.1323
475.930301 66.728 76.7812
479.379088 66.954 76.6963
482.852867 67.282 75.6724
486.351817 67.631 73.4783
489.876123 67.919 70.3196
493.425968 68.129 67.4246
497.001536 68.357 68.1733
500.603014 68.775 83.1350
504.230589 69.494 127.5012
507.884452 70.454 152.5027
511.564792 71.480 154.8088
515.271802 72.402 149.8806
519.005673 73.115 142.4595
522.766602 73.571 134.3440
526.554785 73.769 126.5183
530.370418 73.755 119.6340
534.213700 73.615 114.0820
538.084833 73.458 109.9609
541.984018 73.394 107.0703
545.911457 73.490 104.9802
549.867357 73.759 103.1882
553.851922 74.172 101.4109
557.865362 74.718 99.7429
561.907884 75.408 98.3413
565.979700 76.229 96.9128
570.081022 77.092 94.6094
574.212064 77.848 90.5935
578.373042 78.344 84.7104
582.564171 78.482 77.6067
586.785671 78.242 70.3311
591.037762 77.684 63.7139
595.320665 76.915 58.0422
599.634604 76.037 53.1992
603.979804 75.114 49.0386
608.356491 74.159 45.7461
612.764893 73.162 44.0977
617.205240 72.143 45.5845
621.677763 71.209 52.0405
626.182696 70.545 63.5676
630.720274 70.317 75.9419
635.290733 70.541 84.6067
639.894312 71.108 89.2236
644.531250 71.896 91.2058
649.201789 72.812 91.4458
653.906173 73.766 90.1504
658.644647 74.664 87.2666
663.417457 75.425 82.8569
668.224854 75.990 77.2334
673.067086 76.331 70.8528
677.944408 76.440 64.1882
682.857073 76.311 57.7327
687.805336 75.954 52.0642
692.789457 75.400 47.8274
697.809695 74.725 45.5051
702.866312 74.042 44.9263
707.959571 73.454 45.0759
713.089738 72.983 44.8462
718.257080 72.572 43.8738
723.461867 72.149 42.5122
728.704370 71.684 41.3494
733.984862 71.205 40.8284
739.303619 70.770 41.1560
744.660918 70.440 42.4358
750.057038 70.263 44.7883
755.492260 70.266 48.1821
760.966869 70.441 51.9202
766.481148 70.729 54.6353
772.035387 71.035 55.5078
777.629873 71.300 54.7905
783.264900 71.516 52.9172
788.940760 71.675 49.9099
794.657750 71.735 45.7434
800.416168 71.659 40.7061
806.216313 71.466 35.2151
812.058489 71.236 29.4819
817.943000 71.072 23.4387
823.870152 71.053 16.9651
829.840255 71.213 10.4644
835.853619 71.546 7.2646
841.910559 72.004 110.8005
848.011390 72.489 146.4841
854.156430 72.903 140.7559
860.346000 73.211 133.2876
866.580422 73.458 126.4102
872.860020 73.712 120.3877
879.185124 73.990 114.9480
885.556062 74.272 110.0286
891.973166 74.553 105.8696
898.436771 74.878 102.6089
904.947215 75.297 99.8591
911.504835 75.796 96.8613
918.109975 76.297 93.1099
924.762978 76.721 88.6167
931.464192 77.029 83.7009
938.213966 77.228 78.6980
945.012651 77.345 73.7700
951.860602 77.397 68.9871
958.758176 77.399 64.4629
965.705733 77.377 60.3638
972.703635 77.384 56.8042
979.752246 77.483 53.5964
986.851935 77.686 50.1396
994.003071 77.918 45.7517
1001.206027 78.061 40.1794
1008.461179 78.026 33.6992
1015.768904 77.788 26.7766
1023.129584 77.369 19.7476
1030.543603 76.806 12.7612
1038.011347 76.135 5.8186
1045.533205 75.385 -1.2017
1053.109569 74.580 -8.4785
1060.740836 73.748 -16.2632
1068.427401 72.936 -24.9832
1076.169666 72.229 -35.4385
1083.968035 71.754 -50.0769
1091.822915 71.647 -84.3511
1099.734713 71.943 172.8044
1107.703844 72.521 137.9963
1115.730723 73.187 121.6995
1123.815768 73.763 108.8782
1131.959400 74.139 97.3672
1140.162045 74.286 86.7991
1148.424129 74.238 77.1123
1156.746083 74.042 68.2148
1165.128342 73.723 60.0947
1173.571343 73.286 52.9434
1182.075524 72.726 47.2871
1190.641331 72.044 44.2734
1199.269209 71.274 45.7178
1207.959608 70.509 52.7471
1216.712981 69.878 62.6860
1225.529785 69.491 70.3989
1234.410479 69.372 73.9595
1243.355526 69.459 74.2668
1252.365393 69.644 72.4692
1261.440549 69.826 69.3191
1270.581467 69.928 65.2957
1279.788624 69.900 60.7849
1289.062500 69.719 56.2852
1298.403578 69.407 52.5039
1307.812346 69.033 50.5090
1317.289293 68.697 52.0439
1326.834914 68.486 59.5376
1336.449707 68.419 73.0557
1346.134173 68.441 85.6125
1355.888816 68.463 91.8625
1365.714145 68.417 93.7246
1375.610673 68.303 94.6216
1385.578915 68.203 96.9636
1395.619391 68.233 101.6914
1405.732624 68.465 107.7080
1415.919142 68.862 112.7986
1426.179476 69.319 115.7861
1436.514160 69.765 117.0720
1446.923734 70.187 117.4177
1457.408740 70.577 117.2065
1467.969724 70.917 116.8740
1478.607238 71.221 117.0525
1489.321836 71.539 117.8958
1500.114076 71.898 118.6934
